"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:19:22.2975200 PM","notepad.exe","5656","RegQueryKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:19:22.2975294 PM","notepad.exe","5656","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\CustomAttributes","NAME NOT FOUND","Desired Access: Read"
"7:19:22.2975400 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\RemoteServer","NAME NOT FOUND","Length: 144"
"7:19:22.2975482 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\ActivateAsUser","NAME NOT FOUND","Length: 16"
"7:19:22.2975583 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\ActivateInSharedBroker","NAME NOT FOUND","Length: 16"
"7:19:22.2975685 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\ActivateInBrokerForMediumILContainer","NAME NOT FOUND","Length: 16"
"7:19:22.2975776 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\Permissions","NAME NOT FOUND","Length: 140"
"7:19:22.2975860 PM","notepad.exe","5656","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
"7:19:22.2976002 PM","notepad.exe","5656","RegCloseKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Security.EnterpriseData.ProtectionPolicyManagerPrivatePT","SUCCESS",""
"7:19:22.2988811 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\c755ef4d-de1c-4e7d-a10d-b8d1e26f5035","NAME NOT FOUND","Length: 528"
"7:19:22.2989678 PM","notepad.exe","5656","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\318bbc33-cdfd-42c0-b5e5-57ed92e8935f","NAME NOT FOUND","Length: 528"
